state,permit,handgun,long_gun,other,year
Connecticut,6827.0,6374.0,2698.0,148.0,2016
Delaware,1317.0,2070.0,2082.0,119.0,2016
District of Columbia,0.0,59.0,2.0,0.0,2016
Florida,23891.0,50003.0,27010.0,3908.0,2016
Georgia,17189.0,13799.0,12262.0,592.0,2016
Guam,0.0,127.0,72.0,17.0,2016
Hawaii,1268.0,0.0,0.0,0.0,2016
Idaho,2895.0,3913.0,5787.0,270.0,2016
Illinois,20563.0,33986.0,14739.0,0.0,2016
Indiana,30950.0,21058.0,16857.0,1725.0,2016
Iowa,10955.0,221.0,3557.0,25.0,2016
Kansas,2283.0,6527.0,6775.0,534.0,2016
Kentucky,354387.0,10111.0,10030.0,354.0,2016
Louisiana,3103.0,11865.0,13673.0,1043.0,2016
Maine,567.0,4320.0,6926.0,319.0,2016
Mariana Islands,0.0,0.0,1.0,0.0,2016
Maryland,2866.0,4280.0,6786.0,180.0,2016
Massachusetts,8761.0,6415.0,3680.0,344.0,2016
Michigan,18470.0,12680.0,13539.0,618.0,2016
Minnesota,38403.0,11394.0,18553.0,1024.0,2016
Mississippi,2004.0,7564.0,8323.0,350.0,2016
Missouri,1921.0,21994.0,20919.0,1633.0,2016
Montana,1523.0,3035.0,6689.0,213.0,2016
Nebraska,4705.0,144.0,2817.0,24.0,2016
Nevada,1726.0,5614.0,3471.0,350.0,2016
New Hampshire,4062.0,5968.0,4672.0,258.0,2016
New Jersey,0.0,5391.0,4567.0,217.0,2016
New Mexico,883.0,5449.0,4826.0,470.0,2016
New York,3941.0,10820.0,21094.0,1117.0,2016
North Carolina,26407.0,1353.0,15980.0,1042.0,2016
North Dakota,676.0,1674.0,4451.0,125.0,2016
Ohio,12693.0,30593.0,21991.0,2592.0,2016
Oklahoma,0.0,11560.0,11325.0,1127.0,2016
Oregon,787.0,14749.0,13412.0,0.0,2016
Pennsylvania,29248.0,56836.0,16223.0,40.0,2016
Puerto Rico,0.0,1165.0,194.0,40.0,2016
Rhode Island,0.0,1162.0,950.0,94.0,2016
South Carolina,11817.0,9270.0,7797.0,598.0,2016
South Dakota,1629.0,3127.0,6859.0,368.0,2016
Tennessee,12980.0,23542.0,18514.0,1485.0,2016
Texas,34700.0,46518.0,44519.0,3763.0,2016
Utah,13883.0,3588.0,4603.0,345.0,2016
Vermont,0.0,1485.0,2099.0,99.0,2016
Virgin Islands,37.0,16.0,13.0,0.0,2016
Virginia,816.0,24337.0,20433.0,1269.0,2016
Washington,15570.0,18601.0,15455.0,2650.0,2016
West Virginia,1937.0,6721.0,7737.0,353.0,2016
Wisconsin,28980.0,15514.0,17376.0,946.0,2016
Wyoming,534.0,1709.0,2307.0,127.0,2016
Alabama,22014.0,7125.0,8449.0,319.0,2016
Alaska,306.0,2654.0,3126.0,180.0,2016
Arizona,8641.0,11769.0,8951.0,1086.0,2016
Arkansas,3300.0,4802.0,6284.0,231.0,2016
California,62196.0,39213.0,43015.0,13548.0,2016
Colorado,5593.0,17390.0,14521.0,1143.0,2016
Connecticut,6953.0,5424.0,2472.0,104.0,2016
Delaware,291.0,1759.0,1894.0,76.0,2016
District of Columbia,0.0,46.0,4.0,0.0,2016
Florida,24431.0,45848.0,22439.0,3359.0,2016
Georgia,14745.0,12258.0,9766.0,456.0,2016
Guam,0.0,99.0,63.0,25.0,2016
Hawaii,1237.0,0.0,0.0,0.0,2016
Idaho,2726.0,3124.0,5230.0,234.0,2016
Illinois,17365.0,20298.0,11876.0,0.0,2016
Indiana,30423.0,17402.0,13402.0,1291.0,2016
Iowa,9095.0,154.0,2694.0,26.0,2016
